Order ID,Order Date,Region,Segment,Category,Sub-Category,Product Name,Ship Date,Ship Mode,Profit,Quantity,Sales
CA-2018-146703,10/20/2018,Central,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",10/25/2018,Second Class,8.4784,4,211.96
CA-2020-169194,6/20/2020,East,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,6/25/2020,Standard Class,4.95,3,45
CA-2020-169194,6/20/2020,East,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6/25/2020,Standard Class,6.104,2,21.8
CA-2019-115742,4/18/2019,Central,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4/22/2019,Standard Class,17.9634,6,38.22
CA-2019-115742,4/18/2019,Central,Consumer,Office Supplies,Labels,Avery 485,4/22/2019,Standard Class,35.3346,6,75.18
CA-2019-115742,4/18/2019,Central,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,4/22/2019,Standard Class,2.9568,2,6.16
CA-2019-115742,4/18/2019,Central,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",4/22/2019,Standard Class,17.0981,1,89.99
CA-2020-105816,12/11/2020,East,Corporate,Office Supplies,Fasteners,Advantus Push Pins,12/17/2020,Standard Class,6.2566,7,15.26
CA-2020-105816,12/11/2020,East,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,12/17/2020,Standard Class,298.6855,5,1029.95
CA-2020-111682,6/17/2020,East,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,6/18/2020,First Class,52.14,6,208.56
CA-2020-111682,6/17/2020,East,Consumer,Office Supplies,Paper,Xerox 232,6/18/2020,First Class,15.552,5,32.4
CA-2020-111682,6/17/2020,East,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,6/18/2020,First Class,7.098,5,319.41
CA-2020-111682,6/17/2020,East,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",6/18/2020,First Class,6.9888,2,14.56
CA-2020-111682,6/17/2020,East,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,6/18/2020,First Class,3.3,2,30
CA-2020-111682,6/17/2020,East,Consumer,Office Supplies,Binders,Plastic Binding Combs,6/18/2020,First Class,16.362,4,48.48
CA-2020-111682,6/17/2020,East,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,6/18/2020,First Class,0.84,1,1.68
CA-2019-135545,11/24/2019,West,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",11/30/2019,Standard Class,6.1512,2,13.98
CA-2019-135545,11/24/2019,West,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",11/30/2019,Standard Class,9.3612,6,25.824
CA-2019-135545,11/24/2019,West,Consumer,Office Supplies,Paper,Xerox 1943,11/30/2019,Standard Class,68.9631,3,146.73
CA-2019-135545,11/24/2019,West,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,11/30/2019,Standard Class,22.3328,4,79.76
US-2019-164175,4/30/2019,Central,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",5/5/2019,Standard Class,-15.2225,5,213.115
CA-2018-106376,12/5/2018,West,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",12/10/2018,Standard Class,111.3024,8,1113.024
CA-2018-106376,12/5/2018,West,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,12/10/2018,Standard Class,62.988,4,167.968
CA-2020-119823,6/4/2020,South,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",6/6/2020,First Class,35.6636,2,75.88
CA-2020-106075,9/18/2020,East,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,9/23/2020,Standard Class,1.731,1,4.616
CA-2021-114440,9/14/2021,Central,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9/17/2021,Second Class,8.763,3,19.05
US-2019-134026,4/26/2019,South,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,5/2/2019,Standard Class,-114.3912,8,831.936
US-2019-134026,4/26/2019,South,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",5/2/2019,Standard Class,1.213,2,97.04
US-2019-134026,4/26/2019,South,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,5/2/2019,Standard Class,-18.196,1,72.784
US-2021-118038,12/9/2021,Central,Corporate,Office Supplies,Binders,Economy Binders,12/11/2021,First Class,-1.9344,3,1.248
US-2021-118038,12/9/2021,Central,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",12/11/2021,First Class,-5.8248,3,9.708
US-2021-118038,12/9/2021,Central,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",12/11/2021,First Class,2.724,3,27.24
US-2018-147606,11/26/2018,Central,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12/1/2018,Second Class,-14.475,5,19.3
CA-2020-127208,6/12/2020,South,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",6/15/2020,First Class,56.2032,1,208.16
CA-2020-127208,6/12/2020,South,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,6/15/2020,First Class,8.0352,3,16.74
CA-2018-139451,10/12/2018,West,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",10/16/2018,Standard Class,4.172,5,14.9
CA-2018-139451,10/12/2018,West,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",10/16/2018,Standard Class,6.2031,1,21.39
CA-2019-149734,9/3/2019,South,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,9/8/2019,Standard Class,62.8075,7,200.984
US-2021-119662,11/13/2021,Central,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,11/16/2021,First Class,-48.9549,3,230.376
CA-2021-140088,5/28/2021,South,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,5/30/2021,Second Class,33.2156,2,301.96
CA-2021-155558,10/26/2021,Central,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,11/2/2021,Standard Class,6.7966,1,19.99
CA-2021-155558,10/26/2021,Central,Consumer,Office Supplies,Labels,Avery 511,11/2/2021,Standard Class,2.9568,2,6.16
CA-2020-159695,4/5/2020,Central,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,4/10/2020,Second Class,13.8572,7,158.368
CA-2020-109806,9/17/2020,West,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,9/22/2020,Standard Class,6.633,3,20.1
CA-2020-109806,9/17/2020,West,Corporate,Technology,Phones,Panasonic Kx-TS550,9/22/2020,Standard Class,8.2782,2,73.584
CA-2020-109806,9/17/2020,West,Corporate,Office Supplies,Paper,Xerox 1995,9/22/2020,Standard Class,3.1104,1,6.48
CA-2019-149587,1/31/2019,Central,Consumer,Office Supplies,Paper,Xerox 1999,2/5/2019,Second Class,6.2208,2,12.96
CA-2019-149587,1/31/2019,Central,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",2/5/2019,Second Class,16.5354,3,53.34
CA-2019-149587,1/31/2019,Central,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,2/5/2019,Second Class,16.1504,2,32.96
US-2021-109484,11/6/2021,West,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,11/12/2021,Standard Class,-3.788,1,5.682
CA-2021-161018,11/9/2021,East,Home Office,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,11/11/2021,Second Class,40.5426,7,96.53
CA-2021-157833,6/17/2021,West,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,6/20/2021,First Class,17.9592,3,51.312
CA-2020-149223,9/6/2020,Central,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,9/11/2020,Standard Class,22.5852,6,77.88
CA-2020-158568,8/29/2020,Central,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,9/2/2020,Standard Class,22.6184,7,64.624
CA-2020-158568,8/29/2020,Central,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,9/2/2020,Standard Class,-10.7973,3,95.976
CA-2020-158568,8/29/2020,Central,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,9/2/2020,Standard Class,-3.0396,3,1.788
CA-2020-129903,12/1/2020,Central,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),12/4/2020,Second Class,11.7208,4,23.92
US-2019-156867,11/13/2019,West,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,11/17/2019,Standard Class,-26.8758,6,238.896
US-2019-156867,11/13/2019,West,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",11/17/2019,Standard Class,-3.8385,3,102.36
US-2019-156867,11/13/2019,West,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",11/17/2019,Standard Class,-25.8174,3,36.882
CA-2021-119004,11/23/2021,South,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,11/28/2021,Standard Class,17.6016,8,74.112
CA-2021-119004,11/23/2021,South,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,11/28/2021,Standard Class,2.0994,1,27.992
CA-2021-119004,11/23/2021,South,Consumer,Office Supplies,Art,Newell Chalk Holder,11/28/2021,Standard Class,1.0738,1,3.304
CA-2019-129476,10/15/2019,Central,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,10/20/2019,Standard Class,67.992,5,339.96
CA-2021-146780,12/25/2021,East,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,12/30/2021,Standard Class,10.9096,2,41.96
CA-2020-128867,11/3/2020,Central,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",11/10/2020,Standard Class,22.788,2,75.96
CA-2020-128867,11/3/2020,Central,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",11/10/2020,Standard Class,13.3476,6,27.24
CA-2018-115259,8/25/2018,East,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",8/27/2018,Second Class,14.5348,14,40.096
CA-2018-115259,8/25/2018,East,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",8/27/2018,Second Class,1.652,2,4.72
CA-2018-115259,8/25/2018,East,Consumer,Office Supplies,Paper,Xerox 1921,8/27/2018,Second Class,7.4925,3,23.976
CA-2018-115259,8/25/2018,East,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",8/27/2018,Second Class,44.0316,6,130.464
CA-2019-110457,3/2/2019,West,Consumer,Furniture,Tables,Hon Racetrack Conference Tables,3/6/2019,Standard Class,165.3813,3,787.53
US-2019-136476,4/5/2019,South,Corporate,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,4/10/2019,Standard Class,-115.7156,1,157.794
CA-2020-103730,6/12/2020,East,Consumer,Furniture,Furnishings,Artistic Insta-Plaque,6/15/2020,First Class,18.3456,3,47.04
CA-2020-103730,6/12/2020,East,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,6/15/2020,First Class,13.878,4,30.84
CA-2020-103730,6/12/2020,East,Consumer,Office Supplies,Storage,"Companion Letter/Legal File, Black",6/15/2020,First Class,63.4368,6,226.56
CA-2020-103730,6/12/2020,East,Consumer,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,6/15/2020,First Class,51.759,9,115.02
CA-2020-103730,6/12/2020,East,Consumer,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,6/15/2020,First Class,19.7316,7,68.04
US-2018-152030,12/26/2018,Central,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,12/28/2018,Second Class,-8.5794,3,600.558
US-2018-134614,9/20/2018,Central,Consumer,Furniture,Tables,Bevis 44 x 96 Conference Tables,9/25/2018,Standard Class,-407.682,6,617.7
US-2021-107272,11/5/2021,West,Consumer,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",11/12/2021,Standard Class,-1.8308,2,2.388
US-2021-107272,11/5/2021,West,Consumer,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",11/12/2021,Standard Class,30.499,7,243.992
US-2020-125969,11/6/2020,West,Home Office,Furniture,Chairs,"Global Task Chair, Black",11/10/2020,Second Class,-9.1602,2,81.424
US-2020-125969,11/6/2020,West,Home Office,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,11/10/2020,Second Class,26.2416,3,238.56
US-2021-164147,2/2/2021,East,Corporate,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,2/5/2021,First Class,-11.994,5,59.97
US-2021-164147,2/2/2021,East,Corporate,Office Supplies,Paper,Xerox 1916,2/5/2021,First Class,29.364,2,78.304
US-2021-164147,2/2/2021,East,Corporate,Office Supplies,Fasteners,Staples,2/5/2021,First Class,6.9732,9,21.456
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Paper,Xerox 195,10/19/2020,Standard Class,9.6192,3,20.04
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Paper,Xerox 1880,10/19/2020,Standard Class,16.6568,1,35.44
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",10/19/2020,Standard Class,3.456,4,11.52
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Fasteners,Ideal Clamps,10/19/2020,Standard Class,1.9698,2,4.02
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Binders,GBC Wire Binding Strips,10/19/2020,Standard Class,26.6616,3,76.176
CA-2020-145583,10/13/2020,West,Consumer,Office Supplies,Supplies,Fiskars Softgrip Scissors,10/19/2020,Standard Class,18.4464,6,65.88
CA-2020-145583,10/13/2020,West,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,10/19/2020,Standard Class,20.6976,14,43.12
CA-2020-110366,9/5/2020,East,Corporate,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9/7/2020,Second Class,10.35,2,82.8
CA-2021-106180,9/18/2021,West,Corporate,Office Supplies,Art,Newell 343,9/23/2021,Standard Class,2.3814,3,8.82
CA-2021-106180,9/18/2021,West,Corporate,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,9/23/2021,Standard Class,5.1042,3,10.86
CA-2021-106180,9/18/2021,West,Corporate,Office Supplies,Paper,Xerox 1911,9/23/2021,Standard Class,68.976,3,143.7
CA-2021-155376,12/22/2021,Central,Consumer,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,12/27/2021,Standard Class,218.2518,3,839.43
CA-2019-110744,9/7/2019,West,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving,9/12/2019,Standard Class,20.1579,7,671.93
CA-2018-110072,10/22/2018,East,Home Office,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",10/28/2018,Standard Class,12.9096,4,93.888
CA-2020-114489,12/5/2020,Central,Corporate,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,12/9/2020,Standard Class,103.8015,11,384.45
CA-2020-114489,12/5/2020,Central,Corporate,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,12/9/2020,Standard Class,5.9988,3,149.97
CA-2020-114489,12/5/2020,Central,Corporate,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",12/9/2020,Standard Class,585.552,8,1951.84
CA-2020-114489,12/5/2020,Central,Corporate,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,12/9/2020,Standard Class,80.6285,5,171.55
CA-2020-158834,3/13/2020,West,Home Office,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,3/16/2020,First Class,17.766,5,157.92
CA-2020-158834,3/13/2020,West,Home Office,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,3/16/2020,First Class,15.2388,2,203.184
CA-2019-124919,5/31/2019,West,Corporate,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,6/2/2019,First Class,26.271,7,58.38
CA-2019-124919,5/31/2019,West,Corporate,Office Supplies,Paper,Xerox 1883,6/2/2019,First Class,48.5392,4,105.52
CA-2019-124919,5/31/2019,West,Corporate,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",6/2/2019,First Class,21.0288,6,80.88
CA-2019-118948,5/28/2019,West,Home Office,Office Supplies,Art,Newell 311,6/3/2019,Standard Class,1.7901,3,6.63
CA-2018-104269,3/1/2018,West,Consumer,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3/6/2018,Second Class,51.4764,2,457.568
CA-2020-114104,11/20/2020,Central,Consumer,Office Supplies,Labels,Avery 519,11/24/2020,Standard Class,6.8714,2,14.62
CA-2020-114104,11/20/2020,Central,Consumer,Technology,Phones,Avaya 5420 Digital phone,11/24/2020,Standard Class,236.2325,7,944.93
CA-2020-162733,5/11/2020,West,Consumer,Office Supplies,Paper,Xerox 1920,5/12/2020,First Class,2.691,1,5.98
CA-2019-119697,12/28/2019,East,Consumer,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,12/31/2019,Second Class,1.3596,2,54.384
CA-2020-154508,11/16/2020,West,Consumer,Office Supplies,Envelopes,Staple envelope,11/20/2020,Standard Class,13.348,5,28.4
CA-2020-113817,11/7/2020,West,Consumer,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,11/11/2020,Standard Class,9.688,2,27.68
CA-2018-139892,9/8/2018,Central,Consumer,Office Supplies,Art,BIC Brite Liner Highlighters,9/12/2018,Standard Class,2.7324,3,9.936
CA-2018-139892,9/8/2018,Central,Consumer,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,9/12/2018,Standard Class,-1359.992,8,8159.952
CA-2018-139892,9/8/2018,Central,Consumer,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,9/12/2018,Standard Class,-58.6347,3,275.928
CA-2018-139892,9/8/2018,Central,Consumer,Furniture,Chairs,SAFCO Arco Folding Chair,9/12/2018,Standard Class,-24.858,9,1740.06
CA-2018-139892,9/8/2018,Central,Consumer,Office Supplies,Art,Sanford Liquid Accent Highlighters,9/12/2018,Standard Class,6.8136,6,32.064
CA-2018-139892,9/8/2018,Central,Consumer,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,9/12/2018,Standard Class,-453.849,5,177.98
CA-2018-139892,9/8/2018,Central,Consumer,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,9/12/2018,Standard Class,8.9985,3,143.976
CA-2018-118962,8/5/2018,West,Consumer,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",8/9/2018,Standard Class,9.8418,3,20.94
CA-2018-118962,8/5/2018,West,Consumer,Office Supplies,Paper,Xerox 1913,8/9/2018,Standard Class,53.2608,2,110.96
CA-2018-118962,8/5/2018,West,Consumer,Furniture,Chairs,"Global Value Steno Chair, Gray",8/9/2018,Standard Class,21.259,7,340.144
US-2018-100853,9/14/2018,Central,Corporate,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,9/19/2018,Standard Class,-131.12,2,52.448
